upc,sub_category,category,elasticity_mean,elasticity_sd,hdi_low,hdi_high,prob_elastic,r_hat,ess_bulk
7110410471,PRETZELS,BAG SNACKS,-3.2443152646684603,0.09754605783779875,-3.429,-3.066,1.0,1.0,4158.0
7192100336,PIZZA/PREMIUM,FROZEN PIZZA,-3.2390052820979136,0.047158038806783334,-3.328,-3.15,1.0,1.0,3939.0
7218063979,PIZZA/PREMIUM,FROZEN PIZZA,-3.1842507973113974,0.0431340706359504,-3.268,-3.105,1.0,1.0,3784.0
3800039118,KIDS CEREAL,COLD CEREAL,-3.004883632043201,0.03453167875637013,-3.071,-2.943,1.0,1.0,3939.0
1111087396,PIZZA/PREMIUM,FROZEN PIZZA,-2.9497721306146403,0.046240065356649734,-3.039,-2.866,1.0,1.0,4187.0
7218063052,PIZZA/PREMIUM,FROZEN PIZZA,-2.934531802024206,0.04248908365427004,-3.01,-2.851,1.0,1.0,3983.0
7110410455,PRETZELS,BAG SNACKS,-2.9274020741145312,0.09517048940223863,-3.119,-2.76,1.0,1.0,3990.0
2066200532,PIZZA/PREMIUM,FROZEN PIZZA,-2.78651991663692,0.13151592063601922,-3.02,-2.524,1.0,1.0,3970.0
7192100337,PIZZA/PREMIUM,FROZEN PIZZA,-2.7154513115600802,0.04752561598083919,-2.805,-2.625,1.0,1.0,3854.0
2066200530,PIZZA/PREMIUM,FROZEN PIZZA,-2.657400322586138,0.10419011078963351,-2.857,-2.463,1.0,1.0,4003.0
2066200531,PIZZA/PREMIUM,FROZEN PIZZA,-2.647575129613354,0.12021054247518186,-2.877,-2.423,1.0,1.0,3591.0
7192100339,PIZZA/PREMIUM,FROZEN PIZZA,-2.4614939486083793,0.04717957891384369,-2.549,-2.373,1.0,1.0,3918.0
7218063983,PIZZA/PREMIUM,FROZEN PIZZA,-2.460029520215813,0.044856628105259484,-2.541,-2.373,1.0,1.0,3884.0
3000006610,KIDS CEREAL,COLD CEREAL,-2.4494220326781324,0.04242245659990328,-2.528,-2.37,1.0,1.0,3801.0
1111087395,PIZZA/PREMIUM,FROZEN PIZZA,-2.4297214814741794,0.04409234359488791,-2.515,-2.349,1.0,1.0,3729.0
2840004770,PRETZELS,BAG SNACKS,-2.387824983156216,0.06589856804659579,-2.515,-2.27,1.0,1.0,3957.0
2840004768,PRETZELS,BAG SNACKS,-2.2972336801644464,0.06656155923302552,-2.428,-2.176,1.0,1.0,3466.0
7110410470,PRETZELS,BAG SNACKS,-2.286037904591758,0.09634155717779383,-2.479,-2.116,1.0,1.0,4069.0
3000006340,ALL FAMILY CEREAL,COLD CEREAL,-2.0710168633037633,0.030667177373904845,-2.127,-2.013,1.0,1.0,3784.0
88491201427,ADULT CEREAL,COLD CEREAL,-2.064079607438195,0.06307654156631846,-2.182,-1.948,1.0,1.0,3988.0
31254742835,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-2.0200342383364913,0.0586023628257897,-2.137,-1.916,1.0,1.0,3738.0
3700019521,MOUTHWASH/RINSES AND SPRAYS,ORAL HYGIENE PRODUCTS,-2.015033426181998,0.040871200498842825,-2.091,-1.937,1.0,1.0,4102.0
31254742735,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-1.9259592723174899,0.05806862695734293,-2.037,-1.82,1.0,1.0,3938.0
7797502248,PRETZELS,BAG SNACKS,-1.91737141281871,0.05805536968177605,-2.033,-1.817,1.0,1.0,3876.0
3000006560,KIDS CEREAL,COLD CEREAL,-1.8945887904130974,0.04598559511220475,-1.978,-1.806,1.0,1.0,4071.0
2840002333,PRETZELS,BAG SNACKS,-1.8383747507273513,0.07375959707300056,-1.981,-1.705,1.0,1.0,3857.0
1111087398,PIZZA/PREMIUM,FROZEN PIZZA,-1.8263731877050122,0.046254085603838285,-1.91,-1.736,1.0,1.0,3749.0
7797508006,PRETZELS,BAG SNACKS,-1.7884933939007621,0.06889102970974172,-1.919,-1.661,1.0,1.0,3669.0
88491212971,KIDS CEREAL,COLD CEREAL,-1.7634231023889873,0.03811088161206333,-1.837,-1.693,1.0,1.0,3807.0
1600027527,ALL FAMILY CEREAL,COLD CEREAL,-1.7441691516289948,0.03684735711193796,-1.816,-1.679,1.0,1.0,3993.0
3800031838,KIDS CEREAL,COLD CEREAL,-1.7200155177301018,0.038912624742163116,-1.793,-1.647,1.0,1.0,4360.0
7797508004,PRETZELS,BAG SNACKS,-1.5818245472958588,0.07036534076666404,-1.72,-1.451,1.0,1.0,3959.0
