category,mechanic,n_promoted_weeks,observed_lift_pct,mean_discount_depth,n_store_product_pairs
BAG SNACKS,display_only,14204,54.498321360160304,0.0627211840460077,671
BAG SNACKS,feature_and_display,1494,208.0109862617624,0.2135244307657389,437
BAG SNACKS,feature_only,1667,87.07122572582,0.19233658310569518,452
BAG SNACKS,tpr_only,20623,16.226185516094272,0.20176091985866876,856
COLD CEREAL,display_only,5309,145.06398943876815,0.18154065367790528,1010
COLD CEREAL,feature_and_display,9553,358.5689256373474,0.2599886680928753,1062
COLD CEREAL,feature_only,6659,140.3918294920011,0.20906222296597032,1139
COLD CEREAL,tpr_only,18549,23.34119099248757,0.19108292572680655,1136
FROZEN PIZZA,display_only,5697,152.24603344559432,0.15537599420841847,757
FROZEN PIZZA,feature_and_display,10406,304.76462123135474,0.24655050764998962,714
FROZEN PIZZA,feature_only,8088,175.3581973470134,0.2251831742622355,737
FROZEN PIZZA,tpr_only,9582,55.83993827115306,0.2069909625802383,833
ORAL HYGIENE PRODUCTS,display_only,7817,51.49662420224394,0.14889747198801467,593
ORAL HYGIENE PRODUCTS,feature_and_display,1758,199.13885572541142,0.2513626417426191,502
ORAL HYGIENE PRODUCTS,feature_only,4148,129.79140061764426,0.25952319920365063,599
ORAL HYGIENE PRODUCTS,tpr_only,21059,36.35455290159133,0.24498705649961214,969
